K-1,¡ãC,,,,,,,,,,,,,,,,,,
No,Date,Time,CH10,CH11,CH12,dis,,,,,,,,,,,,,
0,3/11/2024,0:00:40,30.6,29.2,29.3,1.4,,,,step minus one,,,,1/2/2016,10:34:09,30.1,28.8,29,1.3
1,3/11/2024,0:00:50,30.6,29.2,29.5,1.4,,,,#FIELD!,27.9,#FIELD!,,1/2/2016,10:34:19,30.2,28.9,29,1.3
2,3/11/2024,0:01:01,30.6,29.2,29.6,1.4,,,,29.8,27.6,2.2,,1/2/2016,10:34:29,30.2,28.9,29,1.3
3,3/11/2024,0:01:11,30.6,29.2,29.6,1.4,,,,29.8,27.6,2.2,,1/2/2016,10:34:39,30.2,28.9,29,1.3
4,3/11/2024,0:01:21,30.6,29.2,29.6,1.4,,,,29.8,27.6,2.2,,1/2/2016,10:34:49,30.2,28.9,29,1.3
5,3/11/2024,0:01:31,30.7,29.2,29.6,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:34:59,30.2,28.9,29,1.3
6,3/11/2024,0:01:41,30.7,29.2,29.6,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:35:09,30.2,28.9,29,1.3
7,3/11/2024,0:01:51,30.7,29.2,29.6,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:35:19,30.2,28.9,29,1.3
8,3/11/2024,0:02:01,30.7,29.2,29.6,1.5,,,,29.9,27.7,2.2,,1/2/2016,10:35:29,30.2,28.9,29,1.3
9,3/11/2024,0:02:11,30.8,29.3,29.6,1.5,,,,30,27.8,2.2,,1/2/2016,10:35:39,30.2,28.9,29,1.3
10,3/11/2024,0:02:21,30.7,29.3,29.6,1.4,,,,29.9,27.7,2.2,,1/2/2016,10:35:50,30.2,28.9,29,1.3
11,3/11/2024,0:02:31,30.7,29.3,29.6,1.4,,,,29.9,27.7,2.2,,1/2/2016,10:36:00,30.2,28.9,29,1.3
12,3/11/2024,0:02:42,30.8,29.3,29.6,1.5,,,,30,27.8,2.2,,1/2/2016,10:36:10,30.3,28.9,29,1.4
13,3/11/2024,0:02:52,30.8,29.3,29.6,1.5,,,,30,27.8,2.2,,1/2/2016,10:36:20,30.3,28.9,29,1.4
14,3/11/2024,0:03:02,30.8,29.2,29.5,1.6,,,,30,27.8,2.2,,1/2/2016,10:36:30,30.3,28.9,29,1.4
