K-1,¡ãC,,,,,,,,,,,,
No,Date,Time,CH10,CH11,CH12,,,,,,,,
0,1/2/2016,6:16:06,27.1,27.1,29.3,,,,,,,,
1,1/2/2016,6:16:16,27.1,27.1,29.3,,,,,,,,
2,1/2/2016,6:16:26,27.1,27.1,29.3,,,,,,,,
3,1/2/2016,6:16:36,27.1,27.1,29.3,,,,,,,,
4,1/2/2016,6:16:46,27.1,27.1,29.3,,,,,,,,
5,1/2/2016,6:16:56,27.2,27.1,29.3,,,,,,,,
6,1/2/2016,6:17:06,27.2,27.1,29.3,,,,,,,,
7,1/2/2016,6:17:17,27.2,27.1,29.3,,,,,,,,
8,1/2/2016,6:17:27,27.2,27.1,29.3,,,,,,,,
9,1/2/2016,6:17:37,27.2,27.2,29.3,,,,,,,,
10,1/2/2016,6:17:47,27.3,27.3,29.3,,,,,,,,
11,1/2/2016,6:17:57,27.3,27.4,29.3,,,,,,,,
12,1/2/2016,6:18:07,27.4,27.5,29.3,,,,,,,,
13,1/2/2016,6:18:17,27.5,27.6,29.3,,,,,,,,
14,1/2/2016,6:18:27,27.6,27.6,29.3,,,,,,,,
15,1/2/2016,6:18:37,27.9,27.7,29.3,,,,,,,,
16,1/2/2016,6:18:47,28.1,27.7,29.3,,,,,,,,
17,1/2/2016,6:18:58,28.3,27.6,29.3,,,,,,,,
18,1/2/2016,6:19:08,28.7,27.6,29.3,,,,,,,,
19,1/2/2016,6:19:18,28.9,27.6,29.3,,,,,,,,
20,1/2/2016,6:19:28,29.1,27.6,29.3,,,,,,,,
21,1/2/2016,6:19:38,29.2,27.6,29.3,,,,,,,,
22,1/2/2016,6:19:48,29.2,27.6,29.3,,,,,,,,
23,1/2/2016,6:19:58,29.3,27.7,29.3,,,,,,,,
24,1/2/2016,6:20:08,29.3,27.8,29.3,,,,,,,,
25,1/2/2016,6:20:18,29.3,27.8,29.3,,,,,,,,
26,1/2/2016,6:20:28,29.3,28,29.3,,,,,,,,
27,1/2/2016,6:20:39,29.3,28.1,29.3,,,,,,,,
28,1/2/2016,6:20:49,29.3,28.3,29.3,,,,,,,,
29,1/2/2016,6:20:59,29.3,28.5,29.3,,,,,,,,
30,1/2/2016,6:21:09,29.2,28.8,29.3,,,,,,,,
31,1/2/2016,6:21:19,29.2,29.1,29.3,,,,,,,,
32,1/2/2016,6:21:29,29.2,29.3,29.3,,,,,,,,
33,1/2/2016,6:21:39,29.2,29.4,29.3,,,,,,,,
34,1/2/2016,6:21:49,29.2,29.4,29.3,,,,,,,,
35,1/2/2016,6:21:59,29.2,29.4,29.3,,,,,,,,
36,1/2/2016,6:22:09,29.2,29.4,29.3,,,,,,,,
37,1/2/2016,6:22:20,29.1,29.4,29.3,,,,,,,,
38,1/2/2016,6:22:30,29.1,29.4,29.4,,,,,,,,
39,1/2/2016,6:22:40,29.1,29.3,29.4,,,,,,,,
40,1/2/2016,6:22:50,29,29.3,27.2,,,,,,,,
41,1/2/2016,6:23:00,29,29.2,26.9,,,,,,,,
42,1/2/2016,6:23:10,29,29.2,26.9,,,,,,,,
43,1/2/2016,6:23:20,29,29.2,26.9,,,,,,,,
44,1/2/2016,6:23:30,29,29.1,26.9,,,,,,,,
45,1/2/2016,6:23:40,28.9,29.1,26.9,,,,,,,,
46,1/2/2016,6:23:50,28.9,29.1,26.9,,,,,,,,
47,1/2/2016,6:24:01,28.9,29.1,26.9,,,,,,,,
48,1/2/2016,6:24:11,28.9,29.1,26.9,,,,,,,,
49,1/2/2016,6:24:21,28.9,29.1,27,,,,,,,,
50,1/2/2016,6:24:31,28.9,29,27,,,,,,,,
51,1/2/2016,6:24:41,28.9,29,27,,,,,,,,
52,1/2/2016,6:24:51,28.8,29,27,,,,,,,,
53,1/2/2016,6:25:01,28.8,29,27,,,,,,,,
54,1/2/2016,6:25:11,28.8,29,27,,,,,,,,
55,1/2/2016,6:25:21,28.8,28.9,27,,,,,,,,
56,1/2/2016,6:25:31,28.8,28.9,27,,,,,,,,
57,1/2/2016,6:25:42,28.8,28.9,27.1,,,,,,,,
58,1/2/2016,6:25:52,28.8,28.9,27.1,,,,,,,,
59,1/2/2016,6:26:02,28.7,28.9,27.1,,,,,,,,
60,1/2/2016,6:26:12,28.7,28.9,27.1,,,,,,,,
61,1/2/2016,6:26:22,28.7,28.9,27.1,,,,,,,,
62,1/2/2016,6:26:32,28.7,28.9,27.1,,,,,,,,
63,1/2/2016,6:26:42,28.7,28.9,27.1,,,,,,,,
64,1/2/2016,6:26:52,28.7,28.9,27.2,,,,,,,,
65,1/2/2016,6:27:02,28.7,28.9,27.1,,,,,,,,
66,1/2/2016,6:27:12,28.7,28.9,27.1,,,,,,,,
67,1/2/2016,6:27:23,28.7,28.9,27.1,,,,,,,,
68,1/2/2016,6:27:33,28.7,28.9,27.1,,,,,,,,
69,1/2/2016,6:27:43,28.7,28.8,27.1,,,,,,,,
70,1/2/2016,6:27:53,28.7,28.8,27.1,,,,,,,,
71,1/2/2016,6:28:03,28.7,28.8,27.1,,,,,,,,
72,1/2/2016,6:28:13,28.7,28.8,27.1,,,,,,,,
73,1/2/2016,6:28:23,28.7,28.8,27.1,,,,,,,,
