IN_LET,OUT_LET
30.5,26.4
30.7,26.4
30.8,26.4
31.0,26.5
31.1,26.4
31.2,26.5
31.3,26.5
31.4,26.5
31.4,26.4
31.5,26.4
31.6,26.5
31.6,26.4
31.7,26.4
31.7,26.4
31.8,26.5
31.8,26.5
31.8,26.5
31.8,26.5
31.9,26.4
31.9,26.4
31.9,26.4
31.9,26.5
31.9,26.5
31.9,26.5
31.7,26.4
31.7,26.3
31.6,26.3
31.5,26.3
31.5,26.2
31.5,26.3
31.5,26.3
31.4,26.3
31.4,26.3
31.3,26.3
31.2,26.3
31.2,26.4
31.1,26.4
31.1,26.4
31.0,26.4
31.0,26.4
30.9,26.4
30.9,26.4
30.8,26.5
30.8,26.5
30.7,26.5
30.7,26.5
30.6,26.5
30.6,26.5
30.6,26.5
30.6,26.5
30.7,26.5
30.7,26.5
30.8,26.6
30.8,26.6
30.8,26.6
30.7,26.6
30.7,26.6
30.7,26.6
30.7,26.6
30.6,26.6
30.6,26.6
30.6,26.6
30.6,26.6
30.5,26.6
30.5,26.6
30.5,26.6
30.5,26.7
30.5,26.7
30.5,26.7
30.5,26.7
30.5,26.7
30.5,26.7
30.5,26.7
30.5,26.7
30.5,26.7
30.5,26.7
30.5,26.7
30.5,26.7
30.5,26.7
30.5,26.8
30.5,26.7
30.5,26.8
30.5,26.8
30.5,26.8
30.5,26.8
30.5,26.8
30.5,26.8
30.5,26.8
30.5,26.8
30.5,26.8
30.5,26.8
30.5,26.8
30.5,26.8
30.5,26.8
30.5,26.8
30.5,26.7
30.5,26.7
30.5,26.8
30.5,26.9
30.5,26.9
30.5,26.9
30.5,26.9
30.6,27.0
30.6,27.0
30.6,27.0
30.6,27.0
30.6,27.0
30.6,26.9
30.6,26.9
30.6,27.0
30.6,27.0
30.6,27.0
30.6,27.0
30.6,27.0
30.6,27.0
30.6,27.0
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.0
30.6,27.0
30.6,27.0
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.2
30.6,27.1
30.6,27.2
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.1
30.6,27.2
30.6,27.2
30.6,27.2
30.6,27.3
30.6,27.3
