,C -1,,,,,,C - 2,,,,
No,Date,Time,IN,OUT,WB,,No,Date,Time,IN,OUT
0A3:D432,3/11/2024,15:45:00,30.3,26.4,30.9,,0,1/2/2016,6:16:06,27.1,27.1
1,3/11/2024,15:45:10,30.5,26.4,30.9,,1,1/2/2016,6:16:16,27.1,27.1
2,3/11/2024,15:45:20,30.7,26.4,30.9,,2,1/2/2016,6:16:26,27.1,27.1
3,3/11/2024,15:45:30,30.8,26.4,30.9,,3,1/2/2016,6:16:36,27.1,27.1
4,3/11/2024,15:45:40,31,26.5,30.9,,4,1/2/2016,6:16:46,27.1,27.1
5,3/11/2024,15:45:51,31.1,26.4,30.9,,5,1/2/2016,6:16:56,27.2,27.1
6,3/11/2024,15:46:01,31.2,26.5,30.9,,6,1/2/2016,6:17:06,27.2,27.1
7,3/11/2024,15:46:11,31.3,26.5,30.9,,7,1/2/2016,6:17:17,27.2,27.1
8,3/11/2024,15:46:21,31.4,26.5,30.9,,8,1/2/2016,6:17:27,27.2,27.1
9,3/11/2024,15:46:31,31.4,26.4,30.9,,9,1/2/2016,6:17:37,27.2,27.2
10,3/11/2024,15:46:41,31.5,26.4,30.9,,10,1/2/2016,6:17:47,27.3,27.3
11,3/11/2024,15:46:51,31.6,26.5,30.9,,11,1/2/2016,6:17:57,27.3,27.4
12,3/11/2024,15:47:01,31.6,26.4,30.9,,12,1/2/2016,6:18:07,27.4,27.5
13,3/11/2024,15:47:11,31.7,26.4,30.9,,13,1/2/2016,6:18:17,27.5,27.6
14,3/11/2024,15:47:21,31.7,26.4,30.8,,14,1/2/2016,6:18:27,27.6,27.6
15,3/11/2024,15:47:32,31.8,26.5,30.7,,15,1/2/2016,6:18:37,27.9,27.7
16,3/11/2024,15:47:42,31.8,26.5,30.6,,16,1/2/2016,6:18:47,28.1,27.7
17,3/11/2024,15:47:52,31.8,26.5,30.4,,17,1/2/2016,6:18:58,28.3,27.6
18,3/11/2024,15:48:02,31.8,26.5,30.3,,18,1/2/2016,6:19:08,28.7,27.6
19,3/11/2024,15:48:12,31.9,26.4,30.2,,19,1/2/2016,6:19:18,28.9,27.6
20,3/11/2024,15:48:22,31.9,26.4,30.1,,20,1/2/2016,6:19:28,29.1,27.6
21,3/11/2024,15:48:32,31.9,26.4,30,,21,1/2/2016,6:19:38,29.2,27.6
22,3/11/2024,15:48:42,31.9,26.5,29.9,,22,1/2/2016,6:19:48,29.2,27.6
23,3/11/2024,15:48:52,31.9,26.5,29.8,,23,1/2/2016,6:19:58,29.3,27.7
25,3/11/2024,15:49:13,31.9,26.5,29.7,,24,1/2/2016,6:20:08,29.3,27.8
26,3/11/2024,15:49:23,31.7,26.4,29.4,,25,1/2/2016,6:20:18,29.3,27.8
27,3/11/2024,15:49:33,31.7,26.3,27.1,,26,1/2/2016,6:20:28,29.3,28
28,3/11/2024,15:49:43,31.6,26.3,26.4,,27,1/2/2016,6:20:39,29.3,28.1
29,3/11/2024,15:49:53,31.5,26.3,26.8,,28,1/2/2016,6:20:49,29.3,28.3
30,3/11/2024,15:50:03,31.5,26.2,29.1,,29,1/2/2016,6:20:59,29.3,28.5
31,3/11/2024,15:50:13,31.5,26.3,29.1,,30,1/2/2016,6:21:09,29.2,28.8
32,3/11/2024,15:50:23,31.5,26.3,29.1,,31,1/2/2016,6:21:19,29.2,29.1
33,3/11/2024,15:50:33,31.4,26.3,29.1,,32,1/2/2016,6:21:29,29.2,29.3
34,3/11/2024,15:50:43,31.4,26.3,29.1,,33,1/2/2016,6:21:39,29.2,29.4
35,3/11/2024,15:50:54,31.3,26.3,29.1,,34,1/2/2016,6:21:49,29.2,29.4
36,3/11/2024,15:51:04,31.2,26.3,29.3,,35,1/2/2016,6:21:59,29.2,29.4
37,3/11/2024,15:51:14,31.2,26.4,29.6,,36,1/2/2016,6:22:09,29.2,29.4
38,3/11/2024,15:51:24,31.1,26.4,29.6,,37,1/2/2016,6:22:20,29.1,29.4
39,3/11/2024,15:51:34,31.1,26.4,29.6,,38,1/2/2016,6:22:30,29.1,29.4
40,3/11/2024,15:51:44,31,26.4,29.5,,39,1/2/2016,6:22:40,29.1,29.3
41,3/11/2024,15:51:54,31,26.4,29.4,,40,1/2/2016,6:22:50,29,29.3
42,3/11/2024,15:52:04,30.9,26.4,29.4,,41,1/2/2016,6:23:00,29,29.2
43,3/11/2024,15:52:14,30.9,26.4,29.3,,42,1/2/2016,6:23:10,29,29.2
44,3/11/2024,15:52:24,30.8,26.5,29.2,,43,1/2/2016,6:23:20,29,29.2
45,3/11/2024,15:52:35,30.8,26.5,29.2,,44,1/2/2016,6:23:30,29,29.1
46,3/11/2024,15:52:45,30.7,26.5,29.2,,45,1/2/2016,6:23:40,28.9,29.1
47,3/11/2024,15:52:55,30.7,26.5,29.2,,46,1/2/2016,6:23:50,28.9,29.1
48,3/11/2024,15:53:05,30.6,26.5,29.1,,47,1/2/2016,6:24:01,28.9,29.1
49,3/11/2024,15:53:15,30.6,26.5,29.1,,48,1/2/2016,6:24:11,28.9,29.1
50,3/11/2024,15:53:25,30.6,26.5,29.1,,49,1/2/2016,6:24:21,28.9,29.1
51,3/11/2024,15:53:35,30.6,26.5,29.1,,50,1/2/2016,6:24:31,28.9,29
52,3/11/2024,15:53:45,30.7,26.5,29.2,,51,1/2/2016,6:24:41,28.9,29
53,3/11/2024,15:53:55,30.7,26.5,29.1,,52,1/2/2016,6:24:51,28.8,29
54,3/11/2024,15:54:05,30.8,26.6,29.1,,53,1/2/2016,6:25:01,28.8,29
55,3/11/2024,15:54:16,30.8,26.6,29.1,,54,1/2/2016,6:25:11,28.8,29
56,3/11/2024,15:54:26,30.8,26.6,29.1,,55,1/2/2016,6:25:21,28.8,28.9
57,3/11/2024,15:54:36,30.7,26.6,29.1,,56,1/2/2016,6:25:31,28.8,28.9
58,3/11/2024,15:54:46,30.7,26.6,29.1,,57,1/2/2016,6:25:42,28.8,28.9
59,3/11/2024,15:54:56,30.7,26.6,29.1,,58,1/2/2016,6:25:52,28.8,28.9
60,3/11/2024,15:55:06,30.7,26.6,29.1,,59,1/2/2016,6:26:02,28.7,28.9
61,3/11/2024,15:55:16,30.6,26.6,29.2,,60,1/2/2016,6:26:12,28.7,28.9
62,3/11/2024,15:55:26,30.6,26.6,29.2,,61,1/2/2016,6:26:22,28.7,28.9
63,3/11/2024,15:55:36,30.6,26.6,29.2,,62,1/2/2016,6:26:32,28.7,28.9
64,3/11/2024,15:55:46,30.6,26.6,29.2,,63,1/2/2016,6:26:42,28.7,28.9
65,3/11/2024,15:55:57,30.5,26.6,29.2,,64,1/2/2016,6:26:52,28.7,28.9
66,3/11/2024,15:56:07,30.5,26.6,29.2,,65,1/2/2016,6:27:02,28.7,28.9
67,3/11/2024,15:56:17,30.5,26.6,29.3,,66,1/2/2016,6:27:12,28.7,28.9
68,3/11/2024,15:56:27,30.5,26.7,29.2,,67,1/2/2016,6:27:23,28.7,28.9
69,3/11/2024,15:56:37,30.5,26.7,29.2,,68,1/2/2016,6:27:33,28.7,28.9
70,3/11/2024,15:56:47,30.5,26.7,29.2,,69,1/2/2016,6:27:43,28.7,28.8
71,3/11/2024,15:56:57,30.5,26.7,29.2,,70,1/2/2016,6:27:53,28.7,28.8
72,3/11/2024,15:57:07,30.5,26.7,29.2,,71,1/2/2016,6:28:03,28.7,28.8
73,3/11/2024,15:57:17,30.5,26.7,29.2,,72,1/2/2016,6:28:13,28.7,28.8
74,3/11/2024,15:57:27,30.5,26.7,29.2,,73,1/2/2016,6:28:23,28.7,28.8
75,3/11/2024,15:57:38,30.5,26.7,29.2,,74,1/2/2016,6:28:33,28.7,28.8
76,3/11/2024,15:57:48,30.5,26.7,29.2,,75,1/2/2016,6:28:43,28.7,28.8
77,3/11/2024,15:57:58,30.5,26.7,29.2,,76,1/2/2016,6:28:53,28.7,28.7
78,3/11/2024,15:58:08,30.5,26.7,29.2,,77,1/2/2016,6:29:03,28.7,28.7
79,3/11/2024,15:58:18,30.5,26.7,29.2,,78,1/2/2016,6:29:14,28.7,28.7
80,3/11/2024,15:58:28,30.5,26.7,29.2,,79,1/2/2016,6:29:24,28.7,28.7
81,3/11/2024,15:58:38,30.5,26.8,29.1,,80,1/2/2016,6:29:34,28.6,28.7
82,3/11/2024,15:58:48,30.5,26.7,29.1,,81,1/2/2016,6:29:44,28.6,28.7
83,3/11/2024,15:58:58,30.5,26.8,29.2,,82,1/2/2016,6:29:54,28.6,28.7
84,3/11/2024,15:59:08,30.5,26.8,29.2,,83,1/2/2016,6:30:04,28.6,28.7
85,3/11/2024,15:59:19,30.5,26.8,29.2,,84,1/2/2016,6:30:14,28.6,28.7
86,3/11/2024,15:59:29,30.5,26.8,29.2,,85,1/2/2016,6:30:24,28.6,28.7
87,3/11/2024,15:59:39,30.5,26.8,29.2,,86,1/2/2016,6:30:34,28.6,28.7
88,3/11/2024,15:59:49,30.5,26.8,29.2,,87,1/2/2016,6:30:44,28.6,28.7
89,3/11/2024,15:59:59,30.5,26.8,29.2,,88,1/2/2016,6:30:55,28.6,28.6
90,3/11/2024,16:00:09,30.5,26.8,29.2,,89,1/2/2016,6:31:05,28.6,28.6
91,3/11/2024,16:00:19,30.5,26.8,29.2,,90,1/2/2016,6:31:15,28.6,28.6
92,3/11/2024,16:00:29,30.5,26.8,29.2,,91,1/2/2016,6:31:25,28.6,28.6
93,3/11/2024,16:00:39,30.5,26.8,29.2,,92,1/2/2016,6:31:35,28.6,28.6
94,3/11/2024,16:00:49,30.5,26.8,29.2,,93,1/2/2016,6:31:45,28.6,28.6
95,3/11/2024,16:01:00,30.5,26.8,29.2,,94,1/2/2016,6:31:55,28.6,28.6
96,3/11/2024,16:01:10,30.5,26.8,29.3,,95,1/2/2016,6:32:05,28.5,28.6
97,3/11/2024,16:01:20,30.5,26.7,29.3,,96,1/2/2016,6:32:15,28.5,28.6
98,3/11/2024,16:01:30,30.5,26.7,29.2,,97,1/2/2016,6:32:25,28.5,28.5
99,3/11/2024,16:01:40,30.5,26.8,29.3,,98,1/2/2016,6:32:36,28.5,28.5
100,3/11/2024,16:01:50,30.5,26.9,29.3,,99,1/2/2016,6:32:46,28.5,28.5
101,3/11/2024,16:02:00,30.5,26.9,29.3,,100,1/2/2016,6:32:56,28.5,28.5
102,3/11/2024,16:02:10,30.5,26.9,29.2,,101,1/2/2016,6:33:06,28.5,28.5
103,3/11/2024,16:02:20,30.5,26.9,29.2,,102,1/2/2016,6:33:16,28.5,28.5
104,3/11/2024,16:02:30,30.6,27,29.2,,103,1/2/2016,6:33:26,28.5,28.5
105,3/11/2024,16:02:41,30.6,27,29.2,,104,1/2/2016,6:33:36,28.5,28.5
106,3/11/2024,16:02:51,30.6,27,29.2,,105,1/2/2016,6:33:46,28.5,28.5
107,3/11/2024,16:03:01,30.6,27,29.2,,106,1/2/2016,6:33:56,28.5,28.5
108,3/11/2024,16:03:11,30.6,27,29.2,,107,1/2/2016,6:34:06,28.5,28.5
109,3/11/2024,16:03:21,30.6,26.9,29.2,,108,1/2/2016,6:34:17,28.5,28.5
110,3/11/2024,16:03:31,30.6,26.9,29.2,,109,1/2/2016,6:34:27,28.5,28.5
111,3/11/2024,16:03:41,30.6,27,29.2,,110,1/2/2016,6:34:37,28.5,28.5
112,3/11/2024,16:03:51,30.6,27,29.2,,111,1/2/2016,6:34:47,28.5,28.5
113,3/11/2024,16:04:01,30.6,27,29.2,,112,1/2/2016,6:34:57,28.5,28.5
114,3/11/2024,16:04:11,30.6,27,29.2,,113,1/2/2016,6:35:07,28.5,28.5
115,3/11/2024,16:04:22,30.6,27,29.2,,114,1/2/2016,6:35:17,28.5,28.5
116,3/11/2024,16:04:32,30.6,27,29.3,,115,1/2/2016,6:35:27,28.5,28.5
117,3/11/2024,16:04:42,30.6,27,29.3,,116,1/2/2016,6:35:37,28.5,28.5
118,3/11/2024,16:04:52,30.6,27.1,29.2,,117,1/2/2016,6:35:47,28.5,28.5
119,3/11/2024,16:05:02,30.6,27.1,29.2,,118,1/2/2016,6:35:58,28.5,28.5
120,3/11/2024,16:05:12,30.6,27.1,29.2,,119,1/2/2016,6:36:08,28.6,28.5
121,3/11/2024,16:05:22,30.6,27.1,29.2,,120,1/2/2016,6:36:18,28.6,28.5
122,3/11/2024,16:05:32,30.6,27.1,29.2,,121,1/2/2016,6:36:28,28.6,28.5
123,3/11/2024,16:05:42,30.6,27.1,29.2,,122,1/2/2016,6:36:38,28.6,28.6
124,3/11/2024,16:05:52,30.6,27.1,29.2,,123,1/2/2016,6:36:48,28.6,28.6
125,3/11/2024,16:06:03,30.6,27.1,29.2,,124,1/2/2016,6:36:58,28.6,28.6
126,3/11/2024,16:06:13,30.6,27.1,29.2,,125,1/2/2016,6:37:08,28.6,28.6
