IN_LET,OUT_LET
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.2
30.0,28.1
30.0,28.1
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,27.9
29.9,27.799999999999997
29.9,27.799999999999997
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.7
29.9,27.799999999999997
29.9,27.799999999999997
29.9,27.799999999999997
29.9,27.799999999999997
29.9,27.799999999999997
29.9,27.799999999999997
29.9,27.799999999999997
29.9,27.799999999999997
29.9,27.799999999999997
29.9,27.799999999999997
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,27.9
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.1
29.9,28.1
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
29.9,28.0
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.0,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
30.1,28.1
